ID	File	Speaker	Adjective	Ethnicity	Gender	Age	Education	L1	Frequency	Function	Priming	Gradability	SemanticCategory	Emotionality	really	FileSpeaker
39448	DPC045	AG	young	PAKEHA	Man	20-29	NoUniversity	ENGLISH	0.37704	Attributive	NoPrime	1.46766468716689	Age	PositiveEmotional	other	DPC045AG
39461	DPC045	AG	fantastic	PAKEHA	Man	20-29	NoUniversity	ENGLISH	0.06598	Attributive	NoPrime	-3.66356164612965	Value	NonEmotional	really	DPC045AG
39468	DPC045	AG	funny	PAKEHA	Man	20-29	NoUniversity	ENGLISH	1.13112	Predicative	Prime	-0.533092015625427	HumanPropensity	NonEmotional	really	DPC045AG
39469	DPC045	AG	amusing	PAKEHA	Man	20-29	NoUniversity	ENGLISH	0.02828	Attributive	Prime	1	HumanPropensity	PositiveEmotional	really	DPC045AG
39484	DPC045	AG	exciting	PAKEHA	Man	20-29	NoUniversity	ENGLISH	0.16967	Predicative	NoPrime	1	Value	PositiveEmotional	other	DPC045AG
39486	DPC045	AG	neat	PAKEHA	Man	20-29	NoUniversity	ENGLISH	0.26393	Attributive	Prime	-0.00694196072884568	HumanPropensity	NonEmotional	other	DPC045AG
39515	DPC045	AG	nice	PAKEHA	Man	20-29	NoUniversity	ENGLISH	1.72495	Predicative	NoPrime	0.192057198752175	Value	NonEmotional	really	DPC045AG
39516	DPC045	AG	gross	PAKEHA	Man	20-29	NoUniversity	ENGLISH	0.14139	Attributive	Prime	-3.66356164612965	Value	NegativeEmotional	really	DPC045AG
39525	DPC045	AG	amazing	PAKEHA	Man	20-29	NoUniversity	ENGLISH	0.39589	Predicative	NoPrime	1	Value	NonEmotional	other	DPC045AG
39537	DPC045	AG	bad	PAKEHA	Man	20-29	NoUniversity	ENGLISH	1.22537	Attributive	NoPrime	-1.38312098999071	Value	NegativeEmotional	really	DPC045AG
39574	DPC045	BA	helpful	PAKEHA	Woman	20-29	NoUniversity	ENGLISH	0.00943	Predicative	NoPrime	1	HumanPropensity	PositiveEmotional	other	DPC045BA
39576	DPC045	AG	strong	PAKEHA	Man	20-29	NoUniversity	ENGLISH	0.07541	Attributive	NoPrime	-0.0796909187488351	PhysicalProperty	NonEmotional	other	DPC045AG
39587	DPC049	BT	white	PAKEHA	Woman	20-29	University	ENGLISH	0.45245	Attributive	NoPrime	1	Color	PositiveEmotional	other	DPC049BT
39596	DPC049	BT	heavy	PAKEHA	Woman	20-29	University	ENGLISH	0.13196	Predicative	Prime	0.119646522997128	PhysicalProperty	NonEmotional	other	DPC049BT
39610	DPC049	AL	quiet	PAKEHA	Man	30-39	NoUniversity	ENGLISH	0.21666	Predicative	NoPrime	-3.66356164612965	PhysicalProperty	PositiveEmotional	other	DPC049AL
39692	DPC049	AL	poor	PAKEHA	Man	30-39	NoUniversity	ENGLISH	0.21666	Attributive	NoPrime	-2.08685180159834	Value	NonEmotional	other	DPC049AL
39779	DPC057	MK	ill	PAKEHA	Man	50+	University	ENGLISH	1.47059	Attributive	NoPrime	-3.66356164612965	HumanPropensity	NegativeEmotional	other	DPC057MK
39781	DPC057	MK	nice	PAKEHA	Man	50+	University	ENGLISH	2.94118	Attributive	NoPrime	-1.49990058847386	Value	NonEmotional	other	DPC057MK
39784	DPC057	MK	ill	PAKEHA	Man	50+	University	ENGLISH	1.47059	Attributive	NoPrime	-3.66356164612965	HumanPropensity	NegativeEmotional	other	DPC057MK
39838	DPC057	JS	dear	PAKEHA	Woman	50+	University	ENGLISH	0.73529	Attributive	NoPrime	-3.66356164612965	Value	PositiveEmotional	other	DPC057JS
39856	DPC057	JS	fortunate	PAKEHA	Woman	50+	University	ENGLISH	0.73529	Predicative	NoPrime	-3.66356164612965	HumanPropensity	PositiveEmotional	other	DPC057JS
39857	DPC057	JS	close	PAKEHA	Woman	50+	University	ENGLISH	0.73529	Predicative	Prime	-3.66356164612965	Position	NonEmotional	other	DPC057JS
39964	DPC057	MK	hot	PAKEHA	Man	50+	University	ENGLISH	2.94118	Attributive	NoPrime	-3.66356164612965	PhysicalProperty	NonEmotional	other	DPC057MK
40032	DPC057	MK	hot	PAKEHA	Man	50+	University	ENGLISH	2.94118	Predicative	NoPrime	-3.66356164612965	PhysicalProperty	NonEmotional	other	DPC057MK
40132	DPC057	JS	nice	PAKEHA	Woman	50+	University	ENGLISH	2.94118	Attributive	NoPrime	-0.550707654233597	Value	NonEmotional	other	DPC057JS
40191	DPC059	AC	cheap	PAKEHA	Woman	16-19	University	ENGLISH	0.27707	Attributive	NoPrime	-1.2105170571568	Value	NegativeEmotional	really	DPC059AC
40209	DPC059	AC	good	PAKEHA	Woman	16-19	University	ENGLISH	5.34953	Predicative	NoPrime	-3.66356164612965	Value	PositiveEmotional	really	DPC059AC
40279	DPC059	AC	nice	PAKEHA	Woman	16-19	University	ENGLISH	2.02472	Predicative	NoPrime	-0.870653547263634	Value	NonEmotional	really	DPC059AC
40280	DPC059	AC	lovely	PAKEHA	Woman	16-19	University	ENGLISH	0.10656	Predicative	Prime	1	Value	PositiveEmotional	really	DPC059AC
40306	DPC059	AC	nice	PAKEHA	Woman	16-19	University	ENGLISH	2.02472	Attributive	NoPrime	1.10229941336521	Value	NonEmotional	really	DPC059AC
40322	DPC059	AC	cool	PAKEHA	Woman	16-19	University	ENGLISH	1.55584	Attributive	NoPrime	-3.66356164612965	PhysicalProperty	PositiveEmotional	really	DPC059AC
40343	DPC059	AC	different	PAKEHA	Woman	16-19	University	ENGLISH	0.74595	Attributive	NoPrime	1	Other	NonEmotional	other	DPC059AC
40354	DPC059	AC	clean	PAKEHA	Woman	16-19	University	ENGLISH	0.08525	Predicative	NoPrime	-0.75527516322676	PhysicalProperty	PositiveEmotional	other	DPC059AC
40358	DPC059	AC	good	PAKEHA	Woman	16-19	University	ENGLISH	5.34953	Attributive	NoPrime	-3.66356164612965	Value	PositiveEmotional	really	DPC059AC
40367	DPC060	JM	small	PAKEHA	Woman	50+	NoUniversity	ENGLISH	0.29586	Attributive	NoPrime	0.135469572983186	Dimension	NegativeEmotional	other	DPC060JM
40391	DPC060	JM	fair	PAKEHA	Woman	50+	NoUniversity	ENGLISH	0.42265	Attributive	NoPrime	-0.334242641958338	Value	PositiveEmotional	other	DPC060JM
40442	DPC060	JM	nice	PAKEHA	Woman	50+	NoUniversity	ENGLISH	0.38039	Predicative	NoPrime	-2.46360596832673	Value	NonEmotional	other	DPC060JM
40470	DPC060	JM	sorry	PAKEHA	Woman	50+	NoUniversity	ENGLISH	0.42265	Predicative	NoPrime	-0.118920039901591	HumanPropensity	NonEmotional	other	DPC060JM
